NL,ND,QL,QD,Ti,Te,TT
234,0.34,115,0.37,47.39592,943.3549,78.11000309
342,0.36,128,0.35,49.78776,927.1515,80.23692255
270,0.46,102,0.45,42.8046,884.0905,72.53825938
270,0.3,115,0.37,46.896,912.7029,77.10697317
198,0.48,90,0.51,39.55464,876.7707,69.16495408
198,0.42,90,0.49,39.77124,870.1093,69.26885516
270,0.44,90,0.39,41.3544,866.0183,70.78258887
288,0.46,102,0.41,43.51284,887.1237,73.29746187
198,0.38,64,0.55,32.44644,765.9995,60.12313597
270,0.44,96,0.53,39.6132,834.7501,68.50524216
342,0.48,102,0.37,43.94616,873.0829,73.49413624
288,0.4,102,0.55,40.19664,825.1295,68.92170745
180,0.36,90,0.45,40.6044,881.1645,70.2888151
234,0.38,90,0.45,40.15452,853.2905,69.36565657
234,0.38,70,0.45,35.65452,796.1305,63.87030459
252,0.5,70,0.47,35.48796,805.5699,63.87052331
216,0.38,109,0.41,45.48768,932.2257,76.02005135
270,0.5,77,0.47,36.888,814.7759,65.43227964
198,0.34,122,0.43,47.99604,964.2111,79.04778874
324,0.34,102,0.49,40.94652,810.7013,69.41933686
306,0.42,96,0.53,39.18828,808.6241,67.62459657
306,0.4,96,0.41,41.76288,845.5977,70.84204264
324,0.36,128,0.49,46.87152,889.5353,76.69659837
288,0.34,77,0.45,36.55464,774.6845,64.38779469
360,0.42,115,0.41,45.588,872.0257,75.11808127
180,0.44,102,0.35,45.8124,968.1475,76.9274687
324,0.48,109,0.45,43.92972,876.2225,73.53077572
234,0.5,128,0.43,49.59612,995.9671,81.15506643
288,0.42,102,0.53,40.71324,836.5721,69.63679614
270,0.48,90,0.39,41.5044,875.0703,71.08598718
342,0.38,90,0.53,37.33836,760.8241,64.92140008
198,0.4,70,0.51,34.75464,801.5067,63.06553366
288,0.4,128,0.37,50.02104,961.6869,81.03211705
342,0.5,77,0.41,37.51296,792.3257,65.66124059
324,0.36,70,0.39,36.02952,758.3543,63.56775342
324,0.46,83,0.47,37.56312,790.4719,65.67845212
198,0.32,109,0.45,44.55444,915.6145,74.81356259
342,0.34,83,0.35,39.58776,794.0155,67.76604064
288,0.48,83,0.53,36.66324,795.8481,64.87401985
198,0.34,90,0.39,41.67924,886.5883,71.45487265
198,0.44,90,0.51,39.40464,867.7187,68.86170537
252,0.48,122,0.37,49.32096,984.2429,80.69360573
234,0.44,77,0.45,37.45452,829.7145,66.25928523
306,0.44,96,0.43,41.47128,847.7331,70.5871365
198,0.32,128,0.47,48.38784,962.9999,79.42007969
270,0.48,115,0.45,45.8046,925.7705,76.23107696
234,0.38,102,0.49,41.97132,873.7533,71.53063833
288,0.34,64,0.37,35.39604,765.1969,63.05823261
270,0.4,77,0.49,36.0714,785.2293,64.09334319
324,0.5,70,0.49,34.34652,755.4533,61.83203073
288,0.38,77,0.41,37.58784,797.5697,65.82911653
342,0.46,90,0.53,37.63836,778.9281,65.5476434
306,0.46,90,0.47,39.31308,821.2779,67.97102654
198,0.42,83,0.45,39.07944,863.9365,68.47223674
306,0.4,70,0.37,36.79608,785.1229,64.81612461
324,0.5,96,0.41,41.96292,857.4277,71.2447864
342,0.48,102,0.45,42.17976,845.4165,71.25580684
342,0.34,64,0.47,32.66316,698.2139,59.08689743
306,0.42,115,0.45,45.22968,890.5925,75.07247645
324,0.48,64,0.49,32.92152,733.7793,60.00988097
270,0.3,96,0.41,41.7378,844.5677,70.79924697
216,0.34,122,0.49,46.49628,932.6613,77.03578393
288,0.44,64,0.47,33.56304,753.2439,61.00832921
198,0.32,122,0.51,46.15464,932.0187,76.68362131
342,0.48,96,0.49,39.94656,814.4353,68.48487284
342,0.44,122,0.37,48.29616,921.1909,78.64728683
306,0.4,90,0.49,38.64648,800.7833,66.94459478
234,0.32,64,0.45,34.07952,765.4045,61.74546477
216,0.46,96,0.51,40.65468,878.5927,70.29574442
234,0.48,77,0.45,37.60452,838.7665,66.56598578
342,0.38,122,0.49,45.42156,866.1133,74.85136292
342,0.42,102,0.43,42.39636,838.7551,71.35762896
270,0.36,83,0.37,39.921,834.8249,68.8143366
234,0.38,96,0.35,43.71252,905.0215,73.79609525
216,0.36,96,0.51,40.27968,855.9627,69.53652023
270,0.4,83,0.43,38.7462,823.1271,67.4363917
324,0.4,96,0.55,38.49672,786.3815,66.53921454
216,0.36,83,0.39,40.00428,860.3083,69.3352926
180,0.32,70,0.55,33.7464,780.3695,61.68149442
234,0.4,102,0.51,41.60472,871.3627,71.1235733
234,0.4,64,0.35,36.58752,818.0915,65.18981886
216,0.4,77,0.43,37.92108,838.3791,66.87585681
342,0.32,115,0.53,42.73836,818.6961,71.35122599
270,0.48,96,0.47,41.088,864.5519,70.49126342
270,0.38,70,0.49,34.4214,760.6973,62.00214147
306,0.48,122,0.53,45.26328,896.5101,75.2050585
270,0.46,77,0.39,38.5044,833.3903,67.37290013
342,0.32,102,0.41,42.46296,823.0417,71.15166335
288,0.38,77,0.55,34.49664,749.1535,61.86730861
288,0.48,70,0.45,35.50464,786.3605,63.54676011
216,0.32,115,0.41,46.61268,935.7957,77.20345802
216,0.44,77,0.39,38.95428,861.2643,68.30158482
270,0.32,70,0.53,33.3132,733.2861,60.3924559
324,0.38,83,0.43,38.14632,786.2011,66.18559781
324,0.46,109,0.45,43.85472,871.6965,73.37922677
252,0.48,109,0.37,46.39596,947.0889,77.1707695
360,0.36,96,0.45,40.2048,790.3125,68.31729722
252,0.46,70,0.35,37.98756,838.0175,66.93609191
270,0.38,77,0.37,38.646,822.2029,67.32008063
360,0.44,109,0.53,41.6634,817.9041,70.26242271
198,0.34,102,0.43,43.49604,907.0511,73.61332905
234,0.42,115,0.53,44.16312,906.1261,74.26504851
198,0.42,90,0.37,42.42084,911.6089,72.61370174
252,0.32,115,0.41,46.26276,914.1957,76.49842933
288,0.46,70,0.51,34.10484,761.0847,61.69260359
342,0.4,102,0.55,39.67176,792.7295,67.8272124
342,0.36,115,0.49,43.77156,841.5813,72.78158068
198,0.46,122,0.51,46.67964,963.7007,77.72316912
252,0.3,115,0.41,46.18776,909.6697,76.34849109
342,0.36,90,0.39,40.35456,804.7143,68.72204667
270,0.46,128,0.37,50.421,986.0649,81.82267034
342,0.46,83,0.47,37.38816,779.6719,65.31076554
342,0.32,115,0.49,43.62156,832.5293,72.47514383
198,0.38,115,0.35,48.33744,980.9235,79.65713827
270,0.34,122,0.41,47.7378,927.9277,78.19970572
234,0.38,122,0.53,45.58812,917.0801,75.8714504
216,0.48,109,0.39,46.30428,961.7723,77.31673395
198,0.4,70,0.51,34.75464,801.5067,63.06553366
324,0.34,115,0.43,45.19632,868.6051,74.66842715
270,0.32,109,0.37,45.621,900.0809,75.6223483
324,0.42,90,0.47,38.98812,801.4259,67.29758661
324,0.38,128,0.41,48.71292,921.7277,79.07288871
234,0.46,102,0.43,43.59612,912.6071,73.80550761
234,0.32,90,0.51,38.60472,818.9627,67.22224435
324,0.4,122,0.41,47.43792,909.1057,77.58929974
288,0.44,96,0.39,42.52944,872.3663,72.06528771
288,0.46,102,0.53,40.86324,845.6241,69.94285657
288,0.38,122,0.45,46.82964,912.3465,77.03471408
306,0.4,128,0.49,47.19648,909.3873,77.35252914
180,0.3,122,0.35,49.7874,993.6255,81.30922577
270,0.36,128,0.49,47.3964,921.9353,77.75978749
324,0.4,115,0.39,46.30452,896.0163,76.23805137
270,0.42,83,0.49,37.4964,806.9033,65.90244337
288,0.38,109,0.43,44.34624,882.1091,74.04656155
216,0.44,96,0.37,43.67088,922.4829,74.04328359
198,0.34,90,0.39,41.67924,886.5883,71.45487265
180,0.36,115,0.45,46.2294,952.6145,77.09385366
234,0.4,83,0.53,36.88812,810.1441,65.35115041
288,0.4,64,0.37,35.62104,778.7749,63.52757866
252,0.32,90,0.53,37.98816,801.2461,66.29445082
270,0.44,102,0.47,42.288,872.6479,71.82861441
342,0.36,115,0.35,46.86276,889.9975,76.69558588
198,0.44,96,0.49,41.19624,891.7833,71.058981
252,0.42,96,0.47,41.03796,861.7739,70.39394576
234,0.32,102,0.39,43.95432,894.7583,73.86683076
324,0.46,64,0.49,32.84652,729.2533,59.85121033
252,0.44,83,0.45,38.62956,836.0625,67.54430537
270,0.36,77,0.45,36.8046,790.0105,64.91172543
270,0.5,109,0.43,44.9712,920.0651,75.3037749
324,0.4,109,0.45,43.62972,858.1185,72.92337972
198,0.36,109,0.37,46.47084,952.3329,77.33073145
180,0.48,70,0.37,38.3208,878.8269,67.96581476
234,0.44,102,0.47,42.63792,894.2479,72.541898
270,0.4,64,0.39,35.3544,782.6583,63.33043081
216,0.3,96,0.49,40.49628,849.3013,69.6390544
216,0.44,122,0.49,46.87128,955.2913,77.77906704
252,0.3,109,0.45,43.95456,878.6885,73.59724038
234,0.42,77,0.35,39.58752,859.7715,68.90938045
252,0.38,83,0.49,37.52136,808.6513,65.95815483
288,0.38,102,0.39,43.65444,875.9363,73.25066104
288,0.32,64,0.53,31.78824,705.3381,58.34644212
288,0.46,96,0.37,43.04604,883.8089,72.77496363
270,0.32,102,0.49,41.3964,838.5753,70.35456465
306,0.38,115,0.37,46.84608,909.2069,76.99913789
270,0.34,70,0.35,37.3626,800.0615,65.6479584
270,0.4,115,0.43,45.9462,914.5831,76.18827499
216,0.38,109,0.43,45.04608,925.3091,75.4649738
342,0.4,102,0.47,41.43816,820.3959,70.08071401
234,0.44,77,0.53,35.68812,802.0481,64.00857374
342,0.46,83,0.39,39.15456,807.3383,67.56825916
180,0.5,83,0.45,39.5544,892.8405,69.43483674
306,0.42,115,0.49,44.34648,876.7593,73.95660158
342,0.34,83,0.39,38.70456,780.1823,66.63630359
216,0.5,115,0.53,44.63808,935.0301,75.21634189
324,0.44,109,0.49,42.89652,853.3373,72.10845763
270,0.44,90,0.45,40.0296,845.2685,69.10310168
306,0.3,109,0.53,41.66328,818.6221,70.27485283
270,0.32,83,0.43,38.4462,805.0231,66.819129
324,0.38,83,0.49,36.82152,765.4513,64.48831056
270,0.4,70,0.55,33.1716,744.4735,60.45664169
342,0.44,64,0.41,34.36296,741.5937,61.59517805
324,0.44,115,0.39,46.45452,905.0683,76.53887308
216,0.32,109,0.51,43.05468,884.0647,72.78790552
198,0.36,102,0.35,45.33744,939.2435,75.9845198
360,0.46,64,0.47,32.9382,714.5699,59.66964029
306,0.44,122,0.45,46.87968,915.1245,77.13070478
324,0.44,96,0.41,41.73792,843.8497,70.78701121
234,0.4,83,0.47,38.21292,830.8939,67.03815027
324,0.46,77,0.51,35.32992,759.4907,62.88877883
234,0.44,109,0.35,46.86252,955.7535,77.77778322
180,0.38,96,0.35,44.2374,937.4215,74.85473986
180,0.48,115,0.43,47.121,986.6871,78.53257589
324,0.34,128,0.53,45.91332,871.1761,75.42901244
234,0.38,128,0.49,47.82132,948.0613,78.61192409
360,0.44,77,0.39,37.5546,774.8643,65.39098446
306,0.46,77,0.51,35.50488,770.2907,63.25899141
252,0.46,109,0.53,42.78816,887.2301,72.57456797
216,0.4,70,0.45,35.90448,811.4565,64.39055555
270,0.42,83,0.47,37.938,813.8199,66.46552881
270,0.48,77,0.49,36.3714,803.3333,64.71453497
252,0.4,77,0.41,38.01276,823.6957,66.7128593
234,0.36,109,0.53,42.58812,875.4001,72.17528107
342,0.46,109,0.39,45.00456,881.6463,74.69708936
234,0.38,70,0.39,36.97932,816.8803,65.56043789
324,0.3,102,0.35,43.88772,850.0655,73.04360277
252,0.32,109,0.47,43.58796,876.2979,73.1902893
342,0.4,115,0.49,43.92156,850.6333,73.08717846
288,0.38,102,0.39,43.65444,875.9363,73.25066104
216,0.32,70,0.51,34.27968,772.6027,62.07541169
324,0.48,77,0.43,37.17132,791.6831,65.30818372
270,0.48,70,0.53,33.9132,769.4941,61.65295667
288,0.4,70,0.43,35.64624,775.1731,63.48817061
306,0.48,77,0.49,36.02148,781.7333,63.98097392
252,0.5,109,0.39,46.02936,944.6983,76.76530476
216,0.38,109,0.49,43.72128,904.5593,73.79717234
216,0.36,96,0.47,41.16288,869.7959,70.65518239
216,0.34,64,0.51,33.00468,759.9807,60.57242746
198,0.44,90,0.43,41.17104,895.3851,71.09402615
270,0.34,109,0.39,45.2544,897.6903,75.21588027
324,0.34,83,0.35,39.76272,804.8155,68.13199035
324,0.36,64,0.45,33.35472,720.4565,60.19604076
252,0.4,115,0.45,45.67956,918.4665,75.98577223
270,0.44,122,0.45,47.2296,936.7245,77.8355553
342,0.38,83,0.41,38.41296,782.3177,66.3829028
324,0.32,102,0.35,43.96272,854.5915,73.196117
360,0.42,83,0.49,36.6216,752.9033,64.06068344
216,0.46,115,0.53,44.48808,925.9781,74.91796827
342,0.48,102,0.51,40.85496,824.6667,69.57197064
252,0.38,70,0.37,37.24596,812.9969,65.7590605
342,0.48,77,0.55,34.34676,739.3835,61.53836716
252,0.32,102,0.53,40.68816,835.5421,69.5939051
234,0.42,109,0.41,45.46272,930.4777,75.96645256
252,0.48,102,0.53,41.28816,871.7501,70.81357448
324,0.34,70,0.37,36.39612,760.7449,63.97772438
198,0.44,83,0.47,38.71284,861.5459,68.06494214
234,0.44,96,0.43,42.17112,890.9331,72.01962247
324,0.3,64,0.41,34.01292,720.7117,60.8589942
252,0.36,96,0.39,42.57936,875.8623,72.17433086
270,0.34,128,0.49,47.3214,917.4093,77.61016524
252,0.36,102,0.51,41.27976,851.5107,70.46041626
198,0.38,109,0.51,43.45464,908.4427,73.59502321
306,0.44,90,0.37,41.44608,851.3349,70.62372384
324,0.44,70,0.47,34.56312,748.7919,61.9271822
288,0.4,96,0.51,39.72984,821.8147,68.39715065
216,0.4,102,0.51,41.77968,882.1627,71.48090388
270,0.44,64,0.49,33.2964,757.1273,60.81234629
216,0.5,96,0.37,43.89588,936.0609,74.49099235
198,0.46,90,0.53,39.03804,865.3281,68.45449968
198,0.48,109,0.37,46.92084,979.4889,78.21762738
234,0.34,96,0.47,40.91292,854.4699,70.14423711
270,0.32,83,0.51,36.6798,777.3567,64.56091727
360,0.32,122,0.43,46.3464,862.4851,75.71449664
324,0.42,102,0.55,39.92172,808.0555,68.34803703
216,0.48,83,0.49,38.24628,852.8813,67.45041156
306,0.32,64,0.51,32.05488,701.4547,58.53987009
270,0.38,102,0.51,41.1798,845.2367,70.25275479
252,0.46,70,0.53,34.01316,775.7681,61.86577388
198,0.46,83,0.35,41.43744,907.5715,71.56336737
324,0.42,102,0.43,42.57132,849.5551,71.7184485
342,0.32,90,0.39,40.20456,795.6623,68.41204659
324,0.46,70,0.37,36.84612,787.9009,64.91569249
234,0.46,90,0.47,40.01292,864.4779,69.41492503
342,0.4,102,0.37,43.64616,854.9789,72.88618223
270,0.42,115,0.49,44.6964,898.3593,74.66904253
288,0.42,102,0.51,41.15484,843.4887,70.19771692
198,0.46,77,0.45,37.87944,855.8405,67.13419175
198,0.42,96,0.53,40.23804,873.4241,69.79178934
198,0.32,122,0.41,48.36264,966.6017,79.45285872
324,0.5,109,0.41,44.88792,894.5817,74.79747867
252,0.44,77,0.43,37.72116,825.8311,66.45843718
342,0.42,128,0.43,48.24636,913.0631,78.46329399
306,0.3,128,0.53,45.93828,872.9241,75.48356896
342,0.48,115,0.39,46.42956,903.3203,76.48484739
288,0.46,115,0.41,46.43784,924.2777,76.83977579
270,0.48,122,0.53,45.6132,918.1101,75.91353168
234,0.46,96,0.55,39.59652,853.9595,68.81910544
342,0.4,83,0.45,37.60476,773.0105,65.40782638
234,0.44,109,0.55,42.44652,886.5875,72.22213922
198,0.44,90,0.49,39.84624,874.6353,69.42047372
360,0.38,96,0.39,41.6046,815.5883,70.16310661
342,0.32,102,0.49,40.69656,795.3753,68.89895883
342,0.46,70,0.47,34.46316,742.5179,61.71234164
288,0.34,83,0.49,37.02144,777.9993,64.91407881
306,0.4,64,0.51,32.35488,719.5587,59.17947133
288,0.5,70,0.41,36.46284,804.7197,64.83042185
342,0.38,122,0.49,45.42156,866.1133,74.85136292
234,0.44,96,0.53,39.96312,856.3501,69.22658015
360,0.5,115,0.41,45.888,890.1297,75.72304148
342,0.38,90,0.41,39.98796,802.3237,68.31327906
198,0.34,122,0.55,45.34644,922.7115,75.72260664
198,0.34,102,0.53,41.28804,872.4681,70.82561099
306,0.38,102,0.41,43.03788,858.2197,72.33326701
198,0.32,70,0.39,37.10424,824.9023,65.82535244
234,0.42,109,0.43,45.02112,923.5611,75.41126807
252,0.34,128,0.43,48.82116,948.9591,79.62633976
216,0.34,109,0.37,46.22088,937.0069,76.83144844
306,0.34,77,0.45,36.37968,763.8845,64.01814052
198,0.38,102,0.37,44.97084,936.8529,75.57889286
216,0.4,115,0.47,45.58788,933.1499,76.13538235
252,0.42,70,0.41,36.51276,808.2157,64.9418947
